concept_id,semantic_pack,domain,english_gloss,swahili_gloss,part_of_speech,category,phrase_type,tags,notes
"TM_001_DAY","time","time","day","siku","noun","noun",,"temporal","24-hour period"
"TM_002_NIGHT","time","time","night","usiku","noun","noun",,"temporal","Dark period"
"TM_003_MORNING","time","time","morning","asubuhi","noun","noun",,"temporal","Early day"
"TM_004_AFTERNOON","time","time","afternoon","alasiri","noun","noun",,"temporal","Mid-late day"
"TM_005_EVENING","time","time","evening","jioni","noun","noun",,"temporal","Late day"
"TM_006_WEEK","time","time","week","wiki","noun","noun",,"temporal","7 days"
"TM_007_MONTH","time","time","month","mwezi","noun","noun",,"temporal","~30 days"
"TM_008_YEAR","time","time","year","mwaka","noun","noun",,"temporal","365 days"
"TM_009_HOUR","time","time","hour","saa","noun","noun",,"temporal","60 minutes"
"TM_010_MINUTE","time","time","minute","dakika","noun","noun",,"temporal","60 seconds"
"TM_011_SECOND","time","time","second","sekunde","noun","noun",,"temporal","Time unit"
"TM_012_YESTERDAY","time","time","yesterday","jana","noun","noun",,"temporal","Day before"
"TM_013_TODAY","time","time","today","leo","noun","noun",,"temporal","This day"
"TM_014_TOMORROW","time","time","tomorrow","kesho","noun","noun",,"temporal","Day after"
"TM_015_MONDAY","time","time","Monday","Jumatatu","noun","noun",,"temporal","Day of week"
"PL_001_HOUSE","place","place","house","nyumba","noun","noun",,"location","Dwelling"
"PL_002_ROOM","place","place","room","chumba","noun","noun",,"location","Inner space"
"PL_003_DOOR","place","place","door","mlango","noun","noun",,"location","Entry point"
"PL_004_WINDOW","place","place","window","dirisha","noun","noun",,"location","Opening"
"PL_005_ROOF","place","place","roof","paa","noun","noun",,"location","Top covering"
"PL_006_WALL","place","place","wall","ukuta","noun","noun",,"location","Side barrier"
"PL_007_FLOOR","place","place","floor","sakafu","noun","noun",,"location","Bottom surface"
"PL_008_MARKET","place","place","market","soko","noun","noun",,"location","Trading place"
"PL_009_FIELD","place","place","field","shambani","noun","noun",,"location","Open land"
"PL_010_FOREST","place","place","forest","msitu","noun","noun",,"location","Trees area"
"PL_011_RIVER","place","place","river","mto","noun","noun",,"location","Water flow"
"PL_012_MOUNTAIN","place","place","mountain","mlima","noun","noun",,"location","High peak"
"PL_013_VILLAGE","place","place","village","kijiji","noun","noun",,"location","Settlement"
"PL_014_CITY","place","place","city","jiji","noun","noun",,"location","Urban area"
"PL_015_ROAD","place","place","road","barabara","noun","noun",,"location","Travel path"
"EM_001_HAPPY","emotion","emotion","happy","furaha","adjective","adjective",,"feeling","Joy state"
"EM_002_SAD","emotion","emotion","sad","huzuni","adjective","adjective",,"feeling","Sorrow state"
"EM_003_ANGRY","emotion","emotion","angry","hasira","adjective","adjective",,"feeling","Rage state"
"EM_004_AFRAID","emotion","emotion","afraid","hofu","noun","noun",,"feeling","Fear state"
"EM_005_TIRED","emotion","emotion","tired","kufadhaika","verb","verb",,"feeling","Fatigue state"
"EM_006_SICK","emotion","emotion","sick","mgomjwa","noun","noun",,"feeling","Illness state"
"EM_007_WELL","emotion","emotion","well","nzuri","adjective","adjective",,"feeling","Health state"
"EM_008_LOVE","emotion","emotion","love","upendo","noun","noun",,"feeling","Affection"
"EM_009_HATE","emotion","emotion","hate","chuki","noun","noun",,"feeling","Dislike"
"EM_010_SURPRISED","emotion","emotion","surprised","kushangilia","verb","verb",,"feeling","Astonishment"
"AC_001_GIVE","action","action","give","kutoa","verb","verb",,"action","Transfer"
"AC_002_TAKE","action","action","take","kuchukua","verb","verb",,"action","Receive"
"AC_003_MAKE","action","action","make","kufanya","verb","verb",,"action","Create"
"AC_004_FIND","action","action","find","kupata","verb","verb",,"action","Discover"
"AC_005_LOSE","action","action","lose","kupoteza","verb","verb",,"action","Misplace"
"AC_006_OPEN","action","action","open","kufungua","verb","verb",,"action","Unlock"
"AC_007_CLOSE","action","action","close","kufunga","verb","verb",,"action","Seal"
"AC_008_BREAK","action","action","break","kuvunja","verb","verb",,"action","Damage"
"AC_009_FIX","action","action","fix","kutengeneza","verb","verb",,"action","Repair"
"AC_010_WASH","action","action","wash","kunawa","verb","verb",,"action","Clean"
"AC_011_COOK","action","action","cook","kupika","verb","verb",,"action","Prepare food"
"AC_012_PLAY","action","action","play","kucheza","verb","verb",,"action","Recreational"
"AC_013_SING","action","action","sing","kuimba","verb","verb",,"action","Vocalize"
"AC_014_DANCE","action","action","dance","kuchezeana","verb","verb",,"action","Move rhythmically"
"AC_015_LISTEN","action","action","listen","kusikiliza","verb","verb",,"action","Hear actively"
"WH_001_WHAT","question","question","what","nini","pronoun","pronoun",,"interrogative","Unknown object"
"WH_002_WHO","question","question","who","nani","pronoun","pronoun",,"interrogative","Unknown person"
"WH_003_WHERE","question","question","where","wapi","adverb","adverb",,"interrogative","Unknown location"
"WH_004_WHEN","question","question","when","lini","adverb","adverb",,"interrogative","Unknown time"
"WH_005_WHY","question","question","why","kwa nini","adverb","adverb",,"interrogative","Unknown reason"
"WH_006_HOW","question","question","how","jinsi gani","adverb","adverb",,"interrogative","Unknown manner"
